data;num_dia_semana;nome_dia_semana;num_mes_ano;nome_mes_ano
01/01/2021;6;SEXTA-FEIRA;1;JANEIRO
02/01/2021;7;SÁBADO;1;JANEIRO
03/01/2021;1;DOMINGO;1;JANEIRO
04/01/2021;2;SEGUNDA-FEIRA;1;JANEIRO
05/01/2021;3;TERÇA-FEIRA;1;JANEIRO
06/01/2021;4;QUARTA-FEIRA;1;JANEIRO
07/01/2021;5;QUINTA-FEIRA;1;JANEIRO
08/01/2021;6;SEXTA-FEIRA;1;JANEIRO
09/01/2021;7;SÁBADO;1;JANEIRO
10/01/2021;1;DOMINGO;1;JANEIRO
11/01/2021;2;SEGUNDA-FEIRA;1;JANEIRO
12/01/2021;3;TERÇA-FEIRA;1;JANEIRO
13/01/2021;4;QUARTA-FEIRA;1;JANEIRO
14/01/2021;5;QUINTA-FEIRA;1;JANEIRO
15/01/2021;6;SEXTA-FEIRA;1;JANEIRO
16/01/2021;7;SÁBADO;1;JANEIRO
17/01/2021;1;DOMINGO;1;JANEIRO
18/01/2021;2;SEGUNDA-FEIRA;1;JANEIRO
19/01/2021;3;TERÇA-FEIRA;1;JANEIRO
20/01/2021;4;QUARTA-FEIRA;1;JANEIRO
21/01/2021;5;QUINTA-FEIRA;1;JANEIRO
22/01/2021;6;SEXTA-FEIRA;1;JANEIRO
23/01/2021;7;SÁBADO;1;JANEIRO
24/01/2021;1;DOMINGO;1;JANEIRO
25/01/2021;2;SEGUNDA-FEIRA;1;JANEIRO
26/01/2021;3;TERÇA-FEIRA;1;JANEIRO
27/01/2021;4;QUARTA-FEIRA;1;JANEIRO
28/01/2021;5;QUINTA-FEIRA;1;JANEIRO
29/01/2021;6;SEXTA-FEIRA;1;JANEIRO
30/01/2021;7;SÁBADO;1;JANEIRO
31/01/2021;1;DOMINGO;1;JANEIRO
01/02/2021;2;SEGUNDA-FEIRA;2;FEVEREIRO
02/02/2021;3;TERÇA-FEIRA;2;FEVEREIRO
03/02/2021;4;QUARTA-FEIRA;2;FEVEREIRO
04/02/2021;5;QUINTA-FEIRA;2;FEVEREIRO
05/02/2021;6;SEXTA-FEIRA;2;FEVEREIRO
06/02/2021;7;SÁBADO;2;FEVEREIRO
07/02/2021;1;DOMINGO;2;FEVEREIRO
08/02/2021;2;SEGUNDA-FEIRA;2;FEVEREIRO
09/02/2021;3;TERÇA-FEIRA;2;FEVEREIRO
10/02/2021;4;QUARTA-FEIRA;2;FEVEREIRO
11/02/2021;5;QUINTA-FEIRA;2;FEVEREIRO
12/02/2021;6;SEXTA-FEIRA;2;FEVEREIRO
13/02/2021;7;SÁBADO;2;FEVEREIRO
14/02/2021;1;DOMINGO;2;FEVEREIRO
15/02/2021;2;SEGUNDA-FEIRA;2;FEVEREIRO
16/02/2021;3;TERÇA-FEIRA;2;FEVEREIRO
17/02/2021;4;QUARTA-FEIRA;2;FEVEREIRO
18/02/2021;5;QUINTA-FEIRA;2;FEVEREIRO
19/02/2021;6;SEXTA-FEIRA;2;FEVEREIRO
20/02/2021;7;SÁBADO;2;FEVEREIRO
21/02/2021;1;DOMINGO;2;FEVEREIRO
22/02/2021;2;SEGUNDA-FEIRA;2;FEVEREIRO
23/02/2021;3;TERÇA-FEIRA;2;FEVEREIRO
24/02/2021;4;QUARTA-FEIRA;2;FEVEREIRO
25/02/2021;5;QUINTA-FEIRA;2;FEVEREIRO
26/02/2021;6;SEXTA-FEIRA;2;FEVEREIRO
27/02/2021;7;SÁBADO;2;FEVEREIRO
28/02/2021;1;DOMINGO;2;FEVEREIRO
01/03/2021;2;SEGUNDA-FEIRA;3;MARÇO
02/03/2021;3;TERÇA-FEIRA;3;MARÇO
03/03/2021;4;QUARTA-FEIRA;3;MARÇO
04/03/2021;5;QUINTA-FEIRA;3;MARÇO
05/03/2021;6;SEXTA-FEIRA;3;MARÇO
06/03/2021;7;SÁBADO;3;MARÇO
07/03/2021;1;DOMINGO;3;MARÇO
08/03/2021;2;SEGUNDA-FEIRA;3;MARÇO
09/03/2021;3;TERÇA-FEIRA;3;MARÇO
10/03/2021;4;QUARTA-FEIRA;3;MARÇO
11/03/2021;5;QUINTA-FEIRA;3;MARÇO
12/03/2021;6;SEXTA-FEIRA;3;MARÇO
13/03/2021;7;SÁBADO;3;MARÇO
14/03/2021;1;DOMINGO;3;MARÇO
15/03/2021;2;SEGUNDA-FEIRA;3;MARÇO
16/03/2021;3;TERÇA-FEIRA;3;MARÇO
17/03/2021;4;QUARTA-FEIRA;3;MARÇO
18/03/2021;5;QUINTA-FEIRA;3;MARÇO
19/03/2021;6;SEXTA-FEIRA;3;MARÇO
20/03/2021;7;SÁBADO;3;MARÇO
21/03/2021;1;DOMINGO;3;MARÇO
22/03/2021;2;SEGUNDA-FEIRA;3;MARÇO
23/03/2021;3;TERÇA-FEIRA;3;MARÇO
24/03/2021;4;QUARTA-FEIRA;3;MARÇO
25/03/2021;5;QUINTA-FEIRA;3;MARÇO
26/03/2021;6;SEXTA-FEIRA;3;MARÇO
27/03/2021;7;SÁBADO;3;MARÇO
28/03/2021;1;DOMINGO;3;MARÇO
29/03/2021;2;SEGUNDA-FEIRA;3;MARÇO
30/03/2021;3;TERÇA-FEIRA;3;MARÇO
31/03/2021;4;QUARTA-FEIRA;3;MARÇO
01/04/2021;5;QUINTA-FEIRA;4;ABRIL
02/04/2021;6;SEXTA-FEIRA;4;ABRIL
03/04/2021;7;SÁBADO;4;ABRIL
04/04/2021;1;DOMINGO;4;ABRIL
05/04/2021;2;SEGUNDA-FEIRA;4;ABRIL
06/04/2021;3;TERÇA-FEIRA;4;ABRIL
07/04/2021;4;QUARTA-FEIRA;4;ABRIL
08/04/2021;5;QUINTA-FEIRA;4;ABRIL
09/04/2021;6;SEXTA-FEIRA;4;ABRIL
10/04/2021;7;SÁBADO;4;ABRIL
11/04/2021;1;DOMINGO;4;ABRIL
12/04/2021;2;SEGUNDA-FEIRA;4;ABRIL
13/04/2021;3;TERÇA-FEIRA;4;ABRIL
14/04/2021;4;QUARTA-FEIRA;4;ABRIL
15/04/2021;5;QUINTA-FEIRA;4;ABRIL
16/04/2021;6;SEXTA-FEIRA;4;ABRIL
17/04/2021;7;SÁBADO;4;ABRIL
18/04/2021;1;DOMINGO;4;ABRIL
19/04/2021;2;SEGUNDA-FEIRA;4;ABRIL
20/04/2021;3;TERÇA-FEIRA;4;ABRIL
21/04/2021;4;QUARTA-FEIRA;4;ABRIL
22/04/2021;5;QUINTA-FEIRA;4;ABRIL
23/04/2021;6;SEXTA-FEIRA;4;ABRIL
24/04/2021;7;SÁBADO;4;ABRIL
25/04/2021;1;DOMINGO;4;ABRIL
26/04/2021;2;SEGUNDA-FEIRA;4;ABRIL
27/04/2021;3;TERÇA-FEIRA;4;ABRIL
28/04/2021;4;QUARTA-FEIRA;4;ABRIL
29/04/2021;5;QUINTA-FEIRA;4;ABRIL
30/04/2021;6;SEXTA-FEIRA;4;ABRIL
