data;cod_pessoa;qtd_chamadas_atendidas;qtd_vendas;qtd_recusas
02/09/2021;2;2;2;0
03/09/2021;2;3;3;0
06/09/2021;2;2;2;0
08/09/2021;2;2;2;0
09/09/2021;2;1;1;0
10/09/2021;2;5;5;0
13/09/2021;2;32;1;1
14/09/2021;2;1;1;0
15/09/2021;2;80;2;2
16/09/2021;2;2;2;0
17/09/2021;2;2;2;0
20/09/2021;2;176;5;5
21/09/2021;2;44;6;2
22/09/2021;2;8;5;0
23/09/2021;2;9;9;0
24/09/2021;2;6;6;0
27/09/2021;2;3;3;0
28/09/2021;2;3;3;0
29/09/2021;2;6;6;0
30/09/2021;2;3;3;0
05/10/2021;2;3;3;0
06/10/2021;2;2;2;0
07/10/2021;2;2;2;0
11/10/2021;2;1;1;0
13/10/2021;2;4;4;0
15/10/2021;2;1;1;0
18/10/2021;2;3;3;0
19/10/2021;2;4;4;0
20/10/2021;2;1;1;0
21/10/2021;2;4;4;0
22/10/2021;2;6;6;0
25/10/2021;2;5;5;0
26/10/2021;2;2;2;0
27/10/2021;2;3;3;0
28/10/2021;2;5;5;0
29/10/2021;2;11;11;0
01/09/2021;3;226;11;7
02/09/2021;3;241;8;13
03/09/2021;3;212;8;5
06/09/2021;3;64;36;1
08/09/2021;3;37;35;0
09/09/2021;3;37;35;0
10/09/2021;3;28;26;0
13/09/2021;3;31;31;0
14/09/2021;3;36;35;1
15/09/2021;3;30;29;0
16/09/2021;3;22;22;0
17/09/2021;3;21;20;0
20/09/2021;3;34;33;0
21/09/2021;3;39;37;0
22/09/2021;3;31;25;0
23/09/2021;3;22;21;0
24/09/2021;3;24;24;0
27/09/2021;3;23;23;0
28/09/2021;3;17;17;0
29/09/2021;3;31;31;0
30/09/2021;3;28;28;0
01/10/2021;3;40;39;0
04/10/2021;3;37;37;0
05/10/2021;3;38;38;0
06/10/2021;3;29;29;0
07/10/2021;3;35;34;0
08/10/2021;3;24;24;0
13/10/2021;3;13;12;0
14/10/2021;3;15;15;0
15/10/2021;3;12;12;0
18/10/2021;3;9;9;0
19/10/2021;3;10;10;0
20/10/2021;3;8;8;0
21/10/2021;3;5;5;0
22/10/2021;3;9;9;0
25/10/2021;3;10;9;0
26/10/2021;3;8;8;0
27/10/2021;3;9;9;0
28/10/2021;3;9;9;0
29/10/2021;3;8;8;0
01/09/2021;4;129;1;7
02/09/2021;4;132;2;11
03/09/2021;4;162;3;29
06/09/2021;4;174;2;28
08/09/2021;4;152;0;39
09/09/2021;4;147;1;42
10/09/2021;4;168;0;53
13/09/2021;4;190;1;46
14/09/2021;4;191;1;38
15/09/2021;4;175;3;38
16/09/2021;4;170;2;35
17/09/2021;4;232;2;33
20/09/2021;4;176;2;27
21/09/2021;4;173;3;23
22/09/2021;4;165;3;21
23/09/2021;4;165;2;20
24/09/2021;4;109;0;17
27/09/2021;4;269;1;41
28/09/2021;4;190;4;35
29/09/2021;4;196;2;28
30/09/2021;4;157;4;31
01/10/2021;4;202;0;40
04/10/2021;4;201;1;49
05/10/2021;4;278;1;66
06/10/2021;4;183;2;43
07/10/2021;4;197;1;22
08/10/2021;4;183;0;21
11/10/2021;4;214;2;21
13/10/2021;4;212;2;19
14/10/2021;4;126;1;26
15/10/2021;4;241;1;18
18/10/2021;4;195;1;17
19/10/2021;4;189;0;13
20/10/2021;4;179;1;15
21/10/2021;4;133;1;29
22/10/2021;4;125;2;23
25/10/2021;4;154;2;38
26/10/2021;4;184;2;32
27/10/2021;4;138;0;34
28/10/2021;4;99;2;19
29/10/2021;4;136;2;23
10/09/2021;5;220;0;1
13/09/2021;5;104;36;9
14/09/2021;5;118;35;12
15/09/2021;5;87;22;10
16/09/2021;5;106;24;1
17/09/2021;5;168;39;8
20/09/2021;5;159;32;14
21/09/2021;5;175;35;12
22/09/2021;5;196;23;8
23/09/2021;5;280;42;11
24/09/2021;5;212;50;5
27/09/2021;5;109;30;6
28/09/2021;5;290;58;9
29/09/2021;5;134;12;6
30/09/2021;5;629;6;4
01/10/2021;5;438;1;1
04/10/2021;5;182;54;3
05/10/2021;5;164;35;9
06/10/2021;5;173;41;6
07/10/2021;5;201;2;9
08/10/2021;5;265;22;11
13/10/2021;5;261;24;10
14/10/2021;5;467;7;2
15/10/2021;5;163;16;9
18/10/2021;5;130;9;9
19/10/2021;5;216;10;5
20/10/2021;5;671;2;1
21/10/2021;5;401;4;3
22/10/2021;5;186;31;5
25/10/2021;5;217;28;13
26/10/2021;5;197;18;11
27/10/2021;5;188;29;6
28/10/2021;5;359;9;2
29/10/2021;5;176;43;14
02/09/2021;7;125;1;44
03/09/2021;7;115;0;33
06/09/2021;7;164;2;36
08/09/2021;7;133;0;41
09/09/2021;7;139;0;29
10/09/2021;7;176;0;28
13/09/2021;7;176;0;35
14/09/2021;7;168;0;33
15/09/2021;7;126;1;25
16/09/2021;7;148;0;42
17/09/2021;7;141;1;37
20/09/2021;7;152;0;44
21/09/2021;7;110;0;26
22/09/2021;7;102;0;27
23/09/2021;7;135;0;45
24/09/2021;7;137;0;29
27/09/2021;7;155;0;35
28/09/2021;7;155;1;49
29/09/2021;7;119;1;30
30/09/2021;7;161;0;43
01/10/2021;7;168;0;37
04/10/2021;7;181;0;45
05/10/2021;7;148;0;41
06/10/2021;7;146;1;39
07/10/2021;7;161;0;48
08/10/2021;7;183;0;47
11/10/2021;7;117;1;25
13/10/2021;7;191;0;42
14/10/2021;7;181;1;61
18/10/2021;7;148;0;49
19/10/2021;7;45;1;5
20/10/2021;7;59;3;11
21/10/2021;7;4;4;0
22/10/2021;7;3;3;0
25/10/2021;7;2;2;0
26/10/2021;7;4;4;0
27/10/2021;7;6;6;0
28/10/2021;7;4;4;0
29/10/2021;7;9;9;0
01/09/2021;8;68;42;9
02/09/2021;8;54;25;11
03/09/2021;8;47;16;10
06/09/2021;8;13;3;0
08/09/2021;8;82;54;7
09/09/2021;8;67;37;7
10/09/2021;8;70;38;11
13/09/2021;8;67;40;6
14/09/2021;8;63;36;9
15/09/2021;8;60;41;3
16/09/2021;8;67;42;6
17/09/2021;8;61;34;8
20/09/2021;8;60;41;5
21/09/2021;8;58;34;7
22/09/2021;8;58;40;5
23/09/2021;8;52;35;4
24/09/2021;8;46;30;0
27/09/2021;8;51;37;4
28/09/2021;8;70;50;6
29/09/2021;8;54;36;6
30/09/2021;8;38;20;5
01/10/2021;8;89;52;12
04/10/2021;8;103;57;15
05/10/2021;8;91;54;8
06/10/2021;8;102;64;12
07/10/2021;8;85;54;10
08/10/2021;8;124;65;13
13/10/2021;8;95;56;11
14/10/2021;8;85;46;11
15/10/2021;8;81;51;15
