longitude,latitude,time,station_id,PeakPeriod,PeakDirection,UpcrossPeriod,SignificantWaveHeight,Hmax,SeaTemperature,MeanCurSpeed,MeanCurDirTo
degrees_east,degrees_north,UTC,,s,degrees_true,s,cm,cm,degree_C,m/s,degrees_true
-10.094833,52.282333,2021-09-21T20:00:00Z,Brandon Bay,11.76,306.1099,6.59,152.0,262.0,16.17,NaN,NaN
-10.094833,52.282333,2021-09-21T20:05:00Z,Brandon Bay,NaN,NaN,NaN,NaN,NaN,16.17,NaN,NaN
-10.094833,52.282333,2021-09-21T20:10:00Z,Brandon Bay,NaN,NaN,NaN,NaN,NaN,16.21,NaN,NaN
-10.094833,52.282333,2021-09-21T20:15:00Z,Brandon Bay,NaN,NaN,NaN,NaN,NaN,16.17,NaN,NaN
-10.094833,52.282333,2021-09-21T20:20:00Z,Brandon Bay,NaN,NaN,NaN,NaN,NaN,16.17,NaN,NaN
-10.094833,52.282333,2021-09-21T20:25:00Z,Brandon Bay,NaN,NaN,NaN,NaN,NaN,16.12,NaN,NaN
-10.094833,52.282333,2021-09-21T20:30:00Z,Brandon Bay,11.76,305.14285,6.76,147.0,214.0,16.12,NaN,NaN
-10.094833,52.282333,2021-09-21T20:35:00Z,Brandon Bay,NaN,NaN,NaN,NaN,NaN,16.12,NaN,NaN
-10.094833,52.282333,2021-09-21T20:40:00Z,Brandon Bay,NaN,NaN,NaN,NaN,NaN,16.12,NaN,NaN
-10.094833,52.282333,2021-09-21T20:45:00Z,Brandon Bay,NaN,NaN,NaN,NaN,NaN,16.12,NaN,NaN
-10.094833,52.282333,2021-09-21T20:50:00Z,Brandon Bay,NaN,NaN,NaN,NaN,NaN,16.17,NaN,NaN
-10.094833,52.282333,2021-09-21T20:55:00Z,Brandon Bay,NaN,NaN,NaN,NaN,NaN,16.17,NaN,NaN
-10.094833,52.282333,2021-09-21T21:00:00Z,Brandon Bay,11.11,306.37363,6.69,146.0,239.0,16.17,NaN,NaN
-10.094833,52.282333,2021-09-21T21:05:00Z,Brandon Bay,NaN,NaN,NaN,NaN,NaN,16.17,NaN,NaN
-10.094833,52.282333,2021-09-21T21:10:00Z,Brandon Bay,NaN,NaN,NaN,NaN,NaN,16.17,NaN,NaN
-10.094833,52.282333,2021-09-21T21:15:00Z,Brandon Bay,NaN,NaN,NaN,NaN,NaN,16.17,NaN,NaN
-10.094833,52.282333,2021-09-21T21:20:00Z,Brandon Bay,NaN,NaN,NaN,NaN,NaN,16.17,NaN,NaN
-10.094833,52.282333,2021-09-21T21:25:00Z,Brandon Bay,NaN,NaN,NaN,NaN,NaN,16.17,NaN,NaN
-10.094833,52.282333,2021-09-21T21:30:00Z,Brandon Bay,11.11,306.2857,6.61,148.0,212.0,16.17,NaN,NaN
-10.094833,52.282333,2021-09-21T21:35:00Z,Brandon Bay,NaN,NaN,NaN,NaN,NaN,16.17,NaN,NaN
-10.094833,52.282333,2021-09-21T21:40:00Z,Brandon Bay,NaN,NaN,NaN,NaN,NaN,16.17,NaN,NaN
-10.094833,52.282333,2021-09-21T21:45:00Z,Brandon Bay,NaN,NaN,NaN,NaN,NaN,16.17,NaN,NaN
-10.094833,52.282333,2021-09-21T21:50:00Z,Brandon Bay,NaN,NaN,NaN,NaN,NaN,16.17,NaN,NaN
-10.094833,52.282333,2021-09-21T21:55:00Z,Brandon Bay,NaN,NaN,NaN,NaN,NaN,16.17,NaN,NaN
-10.094833,52.282333,2021-09-21T22:00:00Z,Brandon Bay,11.11,305.4066,6.24,146.0,253.0,16.17,NaN,NaN
-10.094833,52.282333,2021-09-21T22:05:00Z,Brandon Bay,NaN,NaN,NaN,NaN,NaN,16.17,NaN,NaN
-10.094833,52.282333,2021-09-21T22:10:00Z,Brandon Bay,NaN,NaN,NaN,NaN,NaN,16.17,NaN,NaN
-10.094833,52.282333,2021-09-21T22:15:00Z,Brandon Bay,NaN,NaN,NaN,NaN,NaN,16.17,NaN,NaN
-10.094833,52.282333,2021-09-21T22:20:00Z,Brandon Bay,NaN,NaN,NaN,NaN,NaN,16.17,NaN,NaN
-10.094833,52.282333,2021-09-21T22:25:00Z,Brandon Bay,NaN,NaN,NaN,NaN,NaN,16.17,NaN,NaN
-10.094833,52.282333,2021-09-21T22:30:00Z,Brandon Bay,11.11,304.6154,6.38,147.0,209.0,16.17,NaN,NaN
-10.094833,52.282333,2021-09-21T22:35:00Z,Brandon Bay,NaN,NaN,NaN,NaN,NaN,16.17,NaN,NaN
-10.094833,52.282333,2021-09-21T22:40:00Z,Brandon Bay,NaN,NaN,NaN,NaN,NaN,16.17,NaN,NaN
-10.094833,52.282333,2021-09-21T22:45:00Z,Brandon Bay,NaN,NaN,NaN,NaN,NaN,16.17,NaN,NaN
-10.094833,52.282333,2021-09-21T22:50:00Z,Brandon Bay,NaN,NaN,NaN,NaN,NaN,16.17,NaN,NaN
-10.094833,52.282333,2021-09-21T22:55:00Z,Brandon Bay,NaN,NaN,NaN,NaN,NaN,16.17,NaN,NaN
-10.094833,52.282333,2021-09-21T23:00:00Z,Brandon Bay,11.11,304.7033,6.11,136.0,227.0,16.17,NaN,NaN
-10.094833,52.282333,2021-09-21T23:05:00Z,Brandon Bay,NaN,NaN,NaN,NaN,NaN,16.17,NaN,NaN
