Latitude;Longitude
-23.5255132;-46.5878189
-23.5255132;-46.5874814
-23.5250834;-46.5872953
-23.5248451;-46.5869829
-23.5244533;-46.58667470000001
-23.524057;-46.5862479
-23.5235146;-46.58587980000001
-23.523054;-46.5854955
-23.5225945;-46.5852425
-23.52229760000001;-46.58512180000001
-23.5221559;-46.58510329999999
-23.5221342;-46.5846796
-23.5216505;-46.5842911
-23.5212296;-46.5842225
-23.52114690000001;-46.5838439
-23.5207457;-46.5833904
-23.5202703;-46.58310089999999
-23.5199666;-46.582484
-23.5193234;-46.5819284
-23.5187442;-46.58186260000001
-23.5186763;-46.5818273
-23.5186397;-46.5817678
-23.5185796;-46.5816571
-23.5184669;-46.5812693
-23.5180657;-46.58103830000001
-23.517816;-46.5806814
-23.5174451;-46.580431
-23.5171866;-46.58024870000001
-23.5169883;-46.5799708
-23.5166968;-46.5798277
-23.51654600000001;-46.57944
-23.5161439;-46.5786847
-23.5153506;-46.5781596
-23.5148062;-46.5779508
-23.5145886;-46.57775470000001
-23.5143788;-46.57771569999999
-23.5143394;-46.57762499999999
-23.5142447;-46.5768732
-23.5134594;-46.576433
-23.5130075;-46.5759875
-23.5125416;-46.5755259
-23.512061;-46.5753225
-23.511849;-46.57505050000001
-23.5115568;-46.5748881
-23.5113831;-46.5743359
-23.5108029;-46.5737225
-23.51015840000001;-46.57271160000001
-23.5090981;-46.5714536
-23.507778;-46.57129340000001
-23.5076142;-46.5710152
-23.5073322;-46.5709401
-23.5072526;-46.5703679
-23.5066566;-46.5703323
-23.5066195;-46.570062
-23.5063381;-46.56995409999999
-23.5062254;-46.5696654
-23.5059227;-46.5695574
-23.5058187;-46.5690999
-23.5053587;-46.5690568
-23.5053191;-46.5689184
-23.50519170000001;-46.5682727
-23.5045976;-46.567829
-23.504218;-46.5673294
-23.5038057;-46.5669608
-23.5035429;-46.5666664
-23.5033193;-46.5665361
-23.5032281;-46.5661754
-23.5029786;-46.5653419
-23.5023948;-46.56450830000001
-23.5017898;-46.5637217
-23.5012576;-46.5632668
-23.5009498;-46.5627341
-23.5006116;-46.5624375
-23.5004313;-46.562251
-23.500318;-46.5620699
-23.5001929;-46.5618387
-23.5000222;-46.5616636
-23.4998807;-46.5616152
-23.4998416;-46.56145889999999
-23.4997194;-46.56082140000001
-23.4992804;-46.56054970000001
-23.4990919;-46.5600879
-23.4987751;-46.5597206
-23.4985218;-46.5596352
-23.4984648;-46.55938939999999
-23.4982947;-46.559179
-23.4981492;-46.5589109
-23.4979651;-46.5585625
-23.49772430000001;-46.55817960000001
-23.4974591;-46.5578268
-23.497217;-46.5576428
-23.4970878;-46.5574892
-23.4969816;-46.5571149
-23.4967239;-46.55672210000001
-23.49645170000001;-46.5564345
-23.4962528;-46.5561647
-23.4960666;-46.555801
-23.4958147;-46.5555511
-23.4956418;-46.55532440000001
-23.4954846;-46.5550649
-23.4953033;-46.55472769999999
-23.49506660000001;-46.5533154
-23.4940392;-46.55316439999999
-23.4939312;-46.5530097
-23.4938206;-46.5524574
-23.4934257;-46.5517777
-23.4929297;-46.55174860000001
-23.4929084;-46.5516235
-23.4928186;-46.5512577
-23.4925559;-46.550854
-23.4922611;-46.55065610000001
-23.4921166;-46.5495602
-23.4913362;-46.54835800000001
-23.4905418;-46.5464952
-23.48935;-46.5456136
-23.4887804;-46.5455357
-23.4887246;-46.54550810000001
-23.488704;-46.54545869999999
-23.4886684;-46.5454041
-23.4886331;-46.5452888
-23.4885633;-46.54432230000001
-23.4879575;-46.5442086
-23.4878864;-46.5441218
-23.4878325;-46.5435807
-23.4874864;-46.54357770000001
-23.4874845;-46.5434181
-23.4873858;-46.54339509999999
-23.4873716;-46.54313559999999
-23.487217;-46.5421096
-23.4865787;-46.5417958
-23.4863754;-46.5416357
-23.4862717;-46.5411634
