Id,state,km,esp_00h_06hs,esp_06_12hs,esp_12_18,esp_18_24hs
1,SP,232,1,2,1,1
2,SP,231,1,0,0,0
3,SP,230,0,1,3,0
5,SP,228,2,2,2,7
6,SP,227,1,0,1,1
7,SP,226,1,0,2,0
8,SP,225,0,0,1,0
9,SP,224,0,2,0,0
10,SP,223,22,50,64,63
11,SP,222,1,1,0,0
12,SP,221,0,0,0,1
22,SP,211,0,2,0,0
23,SP,210,2,2,3,5
24,SP,209,0,0,0,1
44,SP,189,1,1,2,1
45,SP,188,3,2,14,15
52,SP,181,0,0,1,1
54,SP,179,0,2,3,1
56,SP,177,1,0,2,4
57,SP,176,3,2,8,7
58,SP,175,0,0,0,1
63,SP,170,0,0,0,1
75,SP,158,0,0,0,2
76,SP,157,0,0,1,3
82,SP,151,1,0,0,0
85,SP,148,0,0,0,1
95,SP,138,0,11,0,3
126,SP,107,1,4,6,7
127,SP,106,0,0,1,0
128,SP,105,0,0,1,0
129,SP,104,0,1,0,1
149,SP,84,3,3,4,3
182,SP,51,0,0,0,1
185,SP,48,0,1,0,1
210,SP,23,0,0,15,0
222,SP,11,3,2,3,8
233,SP,0,0,1,0,0
234,RJ,333,2,1,3,1
270,RJ,297,0,0,2,0
272,RJ,295,0,0,1,0
286,RJ,281,0,0,2,0
300,RJ,267,0,0,3,3
301,RJ,266,0,0,1,0
321,RJ,246,0,0,1,0
322,RJ,245,1,2,1,1
323,RJ,244,0,4,6,6
324,RJ,243,0,2,0,0
325,RJ,242,1,0,2,0
326,RJ,241,1,0,2,0
369,RJ,198,0,2,2,4
370,RJ,197,0,2,0,0
371,RJ,196,1,6,3,6
373,RJ,194,1,2,0,1
382,RJ,185,0,2,0,0
384,RJ,183,7,8,49,18
385,RJ,182,0,1,0,0
389,RJ,178,0,0,2,2
393,RJ,174,3,16,13,27
394,RJ,173,0,3,3,0
399,RJ,168,0,1,1,0
400,RJ,167,1,4,2,3
401,RJ,166,1,0,1,1
