Id,state,km,1_day_nro_smartphones
1,SP,232,14
2,SP,231,4
3,SP,230,11
4,SP,229,100
5,SP,228,11
6,SP,227,5
7,SP,226,8
8,SP,225,6
9,SP,224,10
10,SP,223,6
11,SP,222,6
12,SP,221,5
13,SP,220,3
15,SP,218,4
16,SP,217,1
17,SP,216,9
18,SP,215,6
19,SP,214,4
20,SP,213,3
22,SP,211,5
23,SP,210,3
26,SP,207,1
28,SP,205,1
29,SP,204,2
30,SP,203,2
31,SP,202,5
32,SP,201,1
35,SP,198,1
38,SP,195,2
40,SP,193,2
41,SP,192,1
42,SP,191,9
44,SP,189,3
46,SP,187,1
49,SP,184,1
50,SP,183,2
53,SP,180,1
54,SP,179,7
56,SP,177,1
58,SP,175,8
61,SP,172,1
65,SP,168,12
67,SP,166,11
70,SP,163,1
71,SP,162,2
74,SP,159,45
76,SP,157,3
77,SP,156,2
78,SP,155,1
79,SP,154,2
81,SP,152,1
84,SP,149,1
85,SP,148,1
86,SP,147,1
87,SP,146,7
88,SP,145,1
89,SP,144,1
95,SP,138,3
96,SP,137,15
97,SP,136,2
99,SP,134,1
100,SP,133,1
101,SP,132,3
102,SP,131,1
104,SP,129,1
105,SP,128,1
106,SP,127,3
107,SP,126,1
109,SP,124,1
112,SP,121,1
113,SP,120,93
115,SP,118,1
116,SP,117,1
117,SP,116,2
118,SP,115,2
119,SP,114,1
121,SP,112,3
125,SP,108,3
128,SP,105,1
130,SP,103,1
131,SP,102,2
132,SP,101,1
134,SP,99,1
135,SP,98,2
136,SP,97,3
137,SP,96,3
140,SP,93,1
141,SP,92,1
143,SP,90,3
144,SP,89,5
146,SP,87,2
147,SP,86,1
148,SP,85,1
152,SP,81,1
154,SP,79,2
156,SP,77,1
160,SP,73,1
161,SP,72,1
167,SP,66,1
170,SP,63,1
174,SP,59,1
175,SP,58,1
178,SP,55,1
179,SP,54,2
182,SP,51,1
187,SP,46,1
188,SP,45,1
189,SP,44,1
191,SP,42,1
193,SP,40,93
194,SP,39,1
195,SP,38,1
206,SP,27,3
209,SP,24,1
210,SP,23,2
212,SP,21,2
213,SP,20,1
217,SP,16,3
219,SP,14,1
220,SP,13,1
222,SP,11,1
226,SP,7,1
227,SP,6,5
228,SP,5,1
231,SP,2,2
233,SP,0,2
236,RJ,331,3
240,RJ,327,1
245,RJ,322,1
247,RJ,320,1
256,RJ,311,2
257,RJ,310,1
258,RJ,309,1
259,RJ,308,1
260,RJ,307,2
261,RJ,306,1
264,RJ,303,2
265,RJ,302,3
267,RJ,300,2
269,RJ,298,1
270,RJ,297,92
271,RJ,296,1
272,RJ,295,1
273,RJ,294,1
278,RJ,289,1
281,RJ,286,2
283,RJ,284,1
284,RJ,283,1
285,RJ,282,1
286,RJ,281,1
289,RJ,278,2
291,RJ,276,1
293,RJ,274,1
295,RJ,272,8
297,RJ,270,1
298,RJ,269,2
299,RJ,268,1
304,RJ,263,1
307,RJ,260,1
312,RJ,255,2
313,RJ,254,2
317,RJ,250,2
319,RJ,248,1
322,RJ,245,1
324,RJ,243,1
325,RJ,242,2
326,RJ,241,1
327,RJ,240,1
328,RJ,239,1
331,RJ,236,1
332,RJ,235,2
334,RJ,233,1
348,RJ,219,4
355,RJ,212,2
359,RJ,208,3
361,RJ,206,2
371,RJ,196,1
379,RJ,188,3
382,RJ,185,2
385,RJ,182,22
386,RJ,181,4
389,RJ,178,1
391,RJ,176,10
393,RJ,174,1
394,RJ,173,3
396,RJ,171,3
397,RJ,170,5
398,RJ,169,13
400,RJ,167,11
402,RJ,165,8
403,RJ,164,13
