Id,state,km,day_nro_smartphones
1,SP,232,14
2,SP,231,31
3,SP,230,6
4,SP,229,101
5,SP,228,8
6,SP,227,5
7,SP,226,29
8,SP,225,5
9,SP,224,5
10,SP,223,5
11,SP,222,10
13,SP,220,2
14,SP,219,1
15,SP,218,1
16,SP,217,17
17,SP,216,8
18,SP,215,4
19,SP,214,3
21,SP,212,4
22,SP,211,5
23,SP,210,6
24,SP,209,1
26,SP,207,1
27,SP,206,3
35,SP,198,1
38,SP,195,2
40,SP,193,1
43,SP,190,1
44,SP,189,2
49,SP,184,4
50,SP,183,2
53,SP,180,1
57,SP,176,3
58,SP,175,6
59,SP,174,2
61,SP,172,4
63,SP,170,10
64,SP,169,6
65,SP,168,6
67,SP,166,3
68,SP,165,4
71,SP,162,1
72,SP,161,2
73,SP,160,2
74,SP,159,40
76,SP,157,4
79,SP,154,1
80,SP,153,1
81,SP,152,1
82,SP,151,2
83,SP,150,2
85,SP,148,2
86,SP,147,1
87,SP,146,25
88,SP,145,1
89,SP,144,1
90,SP,143,2
91,SP,142,1
92,SP,141,2
94,SP,139,1
95,SP,138,1
96,SP,137,1
97,SP,136,4
99,SP,134,3
101,SP,132,1
104,SP,129,1
107,SP,126,1
108,SP,125,2
109,SP,124,1
110,SP,123,1
112,SP,121,1
113,SP,120,93
115,SP,118,1
117,SP,116,1
119,SP,114,3
121,SP,112,1
124,SP,109,1
125,SP,108,1
126,SP,107,1
128,SP,105,1
129,SP,104,1
130,SP,103,41
131,SP,102,1
132,SP,101,1
133,SP,100,2
134,SP,99,1
136,SP,97,21
138,SP,95,2
139,SP,94,6
141,SP,92,1
142,SP,91,1
143,SP,90,2
144,SP,89,5
146,SP,87,2
147,SP,86,1
158,SP,75,1
161,SP,72,3
164,SP,69,1
168,SP,65,1
176,SP,57,2
177,SP,56,2
178,SP,55,1
180,SP,53,1
181,SP,52,1
183,SP,50,1
184,SP,49,1
193,SP,40,91
200,SP,33,7
202,SP,31,1
206,SP,27,1
207,SP,26,1
213,SP,20,1
216,SP,17,1
218,SP,15,3
220,SP,13,2
223,SP,10,1
225,SP,8,1
229,SP,4,2
231,SP,2,1
232,SP,1,2
233,SP,0,1
235,RJ,332,2
236,RJ,331,2
247,RJ,320,1
250,RJ,317,1
254,RJ,313,2
259,RJ,308,3
260,RJ,307,2
261,RJ,306,1
262,RJ,305,2
265,RJ,302,2
267,RJ,300,1
268,RJ,299,2
270,RJ,297,79
271,RJ,296,1
272,RJ,295,1
273,RJ,294,2
277,RJ,290,3
282,RJ,285,1
284,RJ,283,1
286,RJ,281,1
288,RJ,279,3
289,RJ,278,1
291,RJ,276,2
292,RJ,275,1
295,RJ,272,5
296,RJ,271,1
297,RJ,270,3
300,RJ,267,1
303,RJ,264,1
306,RJ,261,1
307,RJ,260,1
309,RJ,258,1
310,RJ,257,3
311,RJ,256,1
312,RJ,255,4
313,RJ,254,1
314,RJ,253,1
315,RJ,252,1
316,RJ,251,1
318,RJ,249,1
322,RJ,245,1
323,RJ,244,1
325,RJ,242,1
326,RJ,241,7
328,RJ,239,1
329,RJ,238,1
332,RJ,235,1
346,RJ,221,7
359,RJ,208,4
362,RJ,205,2
364,RJ,203,1
365,RJ,202,3
368,RJ,199,2
370,RJ,197,1
371,RJ,196,1
373,RJ,194,1
376,RJ,191,3
379,RJ,188,4
382,RJ,185,4
385,RJ,182,2
386,RJ,181,3
389,RJ,178,22
394,RJ,173,7
396,RJ,171,3
400,RJ,167,6
403,RJ,164,2
