Id,state,km,esp_00h_06hs,esp_06_12hs,esp_12_18,esp_18_24hs,day_total
3,SP,230,0,0,2,0,2
5,SP,228,0,1,2,0,3
10,SP,223,8,20,15,23,66
23,SP,210,0,0,0,2,2
44,SP,189,0,2,0,1,3
45,SP,188,0,2,3,1,6
75,SP,158,0,1,0,0,1
76,SP,157,2,3,1,3,9
82,SP,151,0,1,4,1,6
113,SP,120,1,0,0,0,1
125,SP,108,1,0,0,0,1
126,SP,107,0,2,7,1,10
171,SP,62,0,0,0,1,1
185,SP,48,0,1,1,4,6
222,SP,11,1,0,5,2,8
234,RJ,333,1,0,0,0,1
270,RJ,297,1,0,0,3,4
300,RJ,267,1,1,1,0,3
301,RJ,266,1,0,1,0,2
312,RJ,255,0,2,0,0,2
323,RJ,244,0,3,3,0,6
324,RJ,243,0,1,0,0,1
369,RJ,198,0,0,1,1,2
370,RJ,197,0,2,0,0,2
371,RJ,196,0,1,0,0,1
373,RJ,194,0,0,1,0,1
384,RJ,183,1,1,3,4,9
393,RJ,174,1,7,6,7,21
394,RJ,173,1,3,0,2,6
399,RJ,168,0,0,0,1,1
400,RJ,167,0,1,2,2,5
401,RJ,166,1,0,2,1,4
402,RJ,165,0,0,1,0,1
