Id,state,km,2_days_esp_00h_06hs,2_days_esp_06_12hs,2_days_esp_12_18,2_days_esp_18_24hs,2_days_total
2,SP,231,0,0,1,1,2
3,SP,230,0,0,1,0,1
4,SP,229,5,0,1,0,6
5,SP,228,2,0,0,0,2
6,SP,227,0,2,0,0,2
7,SP,226,0,1,0,0,1
9,SP,224,1,0,0,0,1
10,SP,223,6,8,15,13,42
16,SP,217,0,1,0,0,1
22,SP,211,1,0,0,1,2
23,SP,210,0,0,0,2,2
26,SP,207,6,0,13,0,19
44,SP,189,2,0,2,2,6
45,SP,188,0,3,3,7,13
56,SP,177,0,0,3,0,3
57,SP,176,2,1,33,4,40
68,SP,165,0,0,0,3,3
75,SP,158,0,0,1,14,15
76,SP,157,0,2,5,75,82
79,SP,154,0,0,0,6,6
82,SP,151,1,0,2,4,7
84,SP,149,0,0,0,16,16
85,SP,148,0,0,0,17,17
92,SP,141,0,0,0,10,10
94,SP,139,0,0,9,30,39
96,SP,137,0,0,0,11,11
97,SP,136,0,1,2,0,3
98,SP,135,0,0,9,33,42
99,SP,134,0,0,0,15,15
100,SP,133,0,0,8,0,8
101,SP,132,0,0,0,12,12
103,SP,130,0,0,10,0,10
105,SP,128,0,0,0,14,14
106,SP,127,0,0,8,9,17
107,SP,126,0,0,9,0,9
108,SP,125,0,0,17,0,17
109,SP,124,0,0,0,25,25
112,SP,121,0,0,0,18,18
113,SP,120,0,0,0,8,8
114,SP,119,0,0,8,0,8
119,SP,114,0,0,0,13,13
122,SP,111,0,0,0,15,15
125,SP,108,0,0,0,24,24
126,SP,107,0,0,11,30,41
127,SP,106,0,0,0,7,7
129,SP,104,0,0,8,13,21
131,SP,102,0,0,9,20,29
133,SP,100,0,0,10,0,10
135,SP,98,0,0,0,11,11
136,SP,97,0,0,0,16,16
142,SP,91,0,0,0,16,16
144,SP,89,0,0,8,1,9
146,SP,87,0,0,3,6,9
147,SP,86,0,0,0,7,7
148,SP,85,0,0,0,29,29
151,SP,82,0,0,0,29,29
154,SP,79,0,8,0,0,8
155,SP,78,0,2,0,0,2
156,SP,77,0,6,0,0,6
157,SP,76,0,4,0,0,4
158,SP,75,0,10,0,0,10
159,SP,74,0,5,0,10,15
164,SP,69,0,9,0,18,27
166,SP,67,0,8,0,16,24
167,SP,66,0,9,0,0,9
169,SP,64,0,8,0,0,8
170,SP,63,0,0,0,14,14
172,SP,61,0,0,0,16,16
173,SP,60,0,4,0,10,14
174,SP,59,0,17,0,35,52
175,SP,58,0,8,0,0,8
176,SP,57,1,0,0,0,1
177,SP,56,0,0,0,13,13
178,SP,55,0,0,0,15,15
182,SP,51,0,10,0,0,10
183,SP,50,0,10,0,18,28
185,SP,48,1,38,2,1,42
186,SP,47,0,0,0,12,12
187,SP,46,0,0,0,16,16
188,SP,45,0,9,0,0,9
189,SP,44,0,7,0,0,7
190,SP,43,0,4,0,0,4
191,SP,42,0,4,0,0,4
192,SP,41,0,9,0,0,9
193,SP,40,1,26,0,5,32
195,SP,38,0,7,0,15,22
198,SP,35,0,0,0,11,11
199,SP,34,0,8,0,0,8
200,SP,33,0,0,0,12,12
203,SP,30,0,16,0,12,28
205,SP,28,0,9,0,0,9
206,SP,27,0,8,0,0,8
207,SP,26,0,0,0,20,20
208,SP,25,0,3,0,0,3
209,SP,24,0,6,0,0,6
210,SP,23,8,0,1,0,9
211,SP,22,7,0,0,0,7
213,SP,20,3,0,16,0,19
214,SP,19,8,0,0,0,8
215,SP,18,0,0,17,0,17
216,SP,17,0,0,12,0,12
222,SP,11,1,0,74,1,76
223,SP,10,0,0,14,0,14
225,SP,8,0,0,16,0,16
229,SP,4,0,0,12,0,12
230,SP,3,0,0,12,0,12
233,SP,0,0,0,12,0,12
234,RJ,333,0,1,2,0,3
236,RJ,331,0,0,12,0,12
238,RJ,329,0,0,17,0,17
242,RJ,325,0,0,15,0,15
243,RJ,324,0,0,76,0,76
245,RJ,322,0,0,14,0,14
246,RJ,321,0,0,18,0,18
248,RJ,319,0,0,16,0,16
252,RJ,315,0,0,17,0,17
254,RJ,313,0,0,12,0,12
260,RJ,307,0,0,29,0,29
261,RJ,306,0,0,14,0,14
265,RJ,302,0,0,16,0,16
266,RJ,301,0,0,14,0,14
269,RJ,298,0,0,78,0,78
270,RJ,297,0,4,55,0,59
273,RJ,294,0,0,14,0,14
274,RJ,293,0,0,9,0,9
275,RJ,292,0,0,15,0,15
277,RJ,290,0,0,15,0,15
280,RJ,287,0,0,16,0,16
282,RJ,285,0,0,17,0,17
285,RJ,282,0,0,14,0,14
287,RJ,280,0,0,17,0,17
288,RJ,279,0,0,11,0,11
289,RJ,278,0,0,19,0,19
293,RJ,274,0,0,10,0,10
298,RJ,269,0,0,17,0,17
299,RJ,268,0,0,15,0,15
301,RJ,266,0,0,16,0,16
302,RJ,265,0,0,13,0,13
303,RJ,264,0,0,14,0,14
304,RJ,263,0,0,15,0,15
305,RJ,262,0,0,13,0,13
311,RJ,256,0,0,17,0,17
314,RJ,253,0,0,17,0,17
323,RJ,244,0,1,14,0,15
324,RJ,243,0,1,1,0,2
325,RJ,242,0,0,15,0,15
359,RJ,208,0,0,50,0,50
361,RJ,206,0,0,13,0,13
366,RJ,201,0,0,17,0,17
369,RJ,198,0,1,1,2,4
370,RJ,197,0,0,51,0,51
373,RJ,194,0,0,0,1,1
374,RJ,193,0,0,4,0,4
377,RJ,190,0,0,14,0,14
380,RJ,187,0,0,16,0,16
381,RJ,186,0,0,18,0,18
