Id,state,km,6_days_nro_smartphones
1,SP,232,5
2,SP,231,8
3,SP,230,2
4,SP,229,99
5,SP,228,4
6,SP,227,7
7,SP,226,10
8,SP,225,3
9,SP,224,6
10,SP,223,3
11,SP,222,7
15,SP,218,5
17,SP,216,12
19,SP,214,2
20,SP,213,1
24,SP,209,6
26,SP,207,1
28,SP,205,1
29,SP,204,5
32,SP,201,1
34,SP,199,5
36,SP,197,1
37,SP,196,1
43,SP,190,1
44,SP,189,1
45,SP,188,3
50,SP,183,1
52,SP,181,1
54,SP,179,2
61,SP,172,2
62,SP,171,2
66,SP,167,1
68,SP,165,1
70,SP,163,1
72,SP,161,1
74,SP,159,3
75,SP,158,3
76,SP,157,1
79,SP,154,3
82,SP,151,1
83,SP,150,5
86,SP,147,1
87,SP,146,1
89,SP,144,1
91,SP,142,1
92,SP,141,2
94,SP,139,1
97,SP,136,1
98,SP,135,1
101,SP,132,1
102,SP,131,1
121,SP,112,1
122,SP,111,1
125,SP,108,2
126,SP,107,1
128,SP,105,2
130,SP,103,1
133,SP,100,79
135,SP,98,1
138,SP,95,1
143,SP,90,2
144,SP,89,3
147,SP,86,1
148,SP,85,1
149,SP,84,1
164,SP,69,1
166,SP,67,1
171,SP,62,2
174,SP,59,1
176,SP,57,1
179,SP,54,1
180,SP,53,1
181,SP,52,1
193,SP,40,67
200,SP,33,1
204,SP,29,1
210,SP,23,2
211,SP,22,2
212,SP,21,2
216,SP,17,2
218,SP,15,6
223,SP,10,1
225,SP,8,1
227,SP,6,14
228,SP,5,1
229,SP,4,1
240,RJ,327,2
243,RJ,324,2
255,RJ,312,2
257,RJ,310,2
267,RJ,300,1
270,RJ,297,70
274,RJ,293,1
283,RJ,284,3
288,RJ,279,1
291,RJ,276,3
301,RJ,266,1
305,RJ,262,1
307,RJ,260,1
309,RJ,258,3
312,RJ,255,50
313,RJ,254,1
326,RJ,241,1
331,RJ,236,1
332,RJ,235,2
350,RJ,217,5
355,RJ,212,2
357,RJ,210,3
359,RJ,208,1
365,RJ,202,1
372,RJ,195,1
387,RJ,180,1
389,RJ,178,2
391,RJ,176,3
393,RJ,174,1
397,RJ,170,1
398,RJ,169,1
399,RJ,168,1
401,RJ,166,1
403,RJ,164,2
