Id,state,km,1_day_esp_00h_06hs,1_day_esp_06_12hs,1_day_esp_12_18,1_day_esp_18_24hs,1_day_total
1,SP,232,1,0,0,0,1
3,SP,230,0,0,1,0,1
5,SP,228,0,1,0,0,1
6,SP,227,0,0,1,0,1
9,SP,224,0,1,0,0,1
10,SP,223,8,9,7,18,42
20,SP,213,0,1,0,0,1
22,SP,211,0,0,0,1,1
23,SP,210,0,1,0,0,1
44,SP,189,0,1,2,1,4
45,SP,188,2,1,6,8,17
55,SP,178,0,0,0,1,1
56,SP,177,0,0,2,0,2
57,SP,176,2,1,2,3,8
75,SP,158,0,0,0,1,1
76,SP,157,2,2,1,1,6
82,SP,151,0,1,1,2,4
83,SP,150,0,0,1,0,1
126,SP,107,1,2,1,4,8
127,SP,106,0,0,1,0,1
131,SP,102,0,0,0,1,1
148,SP,85,0,0,1,0,1
185,SP,48,0,0,1,3,4
222,SP,11,1,1,1,3,6
233,SP,0,0,1,0,0,1
234,RJ,333,1,0,0,0,1
270,RJ,297,0,0,2,0,2
272,RJ,295,0,0,1,0,1
286,RJ,281,0,0,2,0,2
300,RJ,267,0,0,0,1,1
301,RJ,266,0,0,1,1,2
323,RJ,244,0,1,4,1,6
324,RJ,243,1,1,0,0,2
326,RJ,241,0,0,2,0,2
369,RJ,198,0,0,1,2,3
370,RJ,197,0,0,2,1,3
373,RJ,194,0,0,0,1,1
384,RJ,183,1,1,3,0,5
393,RJ,174,1,3,6,10,20
394,RJ,173,0,3,2,0,5
398,RJ,169,0,1,0,0,1
401,RJ,166,1,1,0,0,2
